Replace Part * IN-4 Nixie Tube in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with IN-4 Nixie Tube from Schlib_Nixie.SchLib
Replace Part * IN-4 Nixie Tube in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with IN-4 Nixie Tube from Schlib_Nixie.SchLib
Replace Part * IN-4 Nixie Tube in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with IN-4 Nixie Tube from Schlib_Nixie.SchLib
Replace Part *? IN-4 Nixie Tube in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with IN-4 Nixie Tube from Schlib_Nixie.SchLib
Replace Part *? IN-4 Nixie Tube in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with IN-4 Nixie Tube from Schlib_Nixie.SchLib
Replace Part *? IN-4 Nixie Tube in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with IN-4 Nixie Tube from Schlib_Nixie.SchLib
Replace Part J? CON_2M_SM_RA in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with CON_2M_SM_RA from Schlib_Nixie.SchLib
Replace Part R? RES_68K_1210 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with RES_68K_1210 from Schlib_Nixie.SchLib
Replace Part R? RES_68K_1210 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with RES_68K_1210 from Schlib_Nixie.SchLib
Replace Part R? RES_68K_1210 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with RES_68K_1210 from Schlib_Nixie.SchLib
Replace Part R? RES_68K_1210 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with RES_68K_1210 from Schlib_Nixie.SchLib
Replace Part R? RES_68K_1210 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with RES_68K_1210 from Schlib_Nixie.SchLib
Replace Part R? RES_68K_1210 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with RES_68K_1210 from Schlib_Nixie.SchLib
Replace Part TP? TESTPOINT_LOOP in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with TESTPOINT_LOOP from Schlib_Nixie.SchLib
Replace Part TP? TESTPOINT_LOOP in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with TESTPOINT_LOOP from Schlib_Nixie.SchLib
Replace Part U*? HV5522 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with HV5522 from Schlib_Nixie.SchLib
Replace Part U*? HV5522 in C:\Users\ayesh\Documents\GitHub\NixieTubeClock\Nixie Clock\Nixie Tubes.SchDoc with HV5522 from Schlib_Nixie.SchLib
